date,value,unit,source,frequency,notes
2016-03-01,78006.3,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-04-01,81775.71,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-05-01,103004.94,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-06-01,106175.68,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-07-01,104821.55,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-08-01,105275.51,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-09-01,104905.33,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-10-01,111785.54,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-11-01,116946.24,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-12-01,115548.93,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-01-01,116016.21,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-02-01,116384.73,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-03-01,115996.79,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-04-01,116089.78,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-05-01,116156.85,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-06-01,117521.68,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-07-01,118117.03,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-08-01,119918.18,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-09-01,121812.67,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-10-01,123644.6,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-11-01,132143.84,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-12-01,138042.44,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-01-01,141477.97,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-02-01,143975.77,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-03-01,143979.28,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-04-01,144462.57,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-05-01,143941.6,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-06-01,144682.21,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-07-01,136396.49,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-08-01,131186.0,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-09-01,128398.34,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-10-01,124993.64,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-11-01,120330.28,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2018-12-01,119539.94,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-01-01,117410.34,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-02-01,117155.21,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-03-01,116143.32,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-04-01,112608.04,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-05-01,108327.79,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-06-01,105147.66,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-07-01,98557.48,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-08-01,92297.52,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-09-01,90613.04,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-10-01,89768.31,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-11-01,85586.31,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2019-12-01,83369.61,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-01-01,84515.03,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-02-01,84090.14,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-03-01,84763.64,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-04-01,80179.88,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-05-01,76716.07,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-06-01,72682.34,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-07-01,67930.89,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-08-01,68554.16,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-09-01,69236.41,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-10-01,69367.46,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-11-01,70408.87,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2020-12-01,71683.14,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-01-01,76313.43,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-02-01,79876.06,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-03-01,85196.12,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-04-01,89693.15,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-05-01,94471.27,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-06-01,96521.51,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-07-01,95767.61,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-08-01,103970.14,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-09-01,122714.9,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-10-01,142293.44,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-11-01,163563.75,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2021-12-01,184429.31,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-01-01,266260.85,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-02-01,341140.05,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-03-01,473185.88,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-04-01,490008.18,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-05-01,453228.86,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-06-01,443656.2,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-07-01,441052.34,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-08-01,435305.33,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-09-01,418813.49,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-10-01,409005.51,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-11-01,409954.02,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2022-12-01,421882.45,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-01-01,430097.82,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-02-01,416103.54,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-03-01,354118.31,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-04-01,289990.75,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-05-01,224371.32,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-06-01,264872.03,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-07-01,268325.57,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-08-01,248534.43,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-09-01,207135.51,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-10-01,179183.32,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-11-01,169803.64,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2023-12-01,150633.29,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-01-01,122568.09,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-02-01,121638.05,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-03-01,124285.91,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-04-01,124327.29,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-05-01,124404.96,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-06-01,121502.49,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-07-01,114426.58,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-08-01,107474.51,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-09-01,103653.05,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-10-01,102664.25,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
