date,aluminum_usd_mt
2021-11-01,2636.45
2021-12-01,2695.53
2022-01-01,3005.98
2022-02-01,3245.79
2022-03-01,3498.37
2022-04-01,3244.41
2022-05-01,2830.32
2022-06-01,2563.44
2022-07-01,2408.42
2022-08-01,2430.79
2022-09-01,2224.76
2022-10-01,2255.54
2022-11-01,2350.72
2022-12-01,2401.69
2023-01-01,2501.82
2023-02-01,2416.18
2023-03-01,2296.42
2023-04-01,2343.23
2023-05-01,2268.6
2023-06-01,2184.75
2023-07-01,2159.73
2023-08-01,2136.57
2023-09-01,2184.67
2023-10-01,2192.21
2023-11-01,2202.26
2023-12-01,2182.43
2024-01-01,2192.82
2024-02-01,2179.46
2024-03-01,2226.16
2024-04-01,2506.1
2024-05-01,2564.54
2024-06-01,2497.61
2024-07-01,2349.13
2024-08-01,2343.67
2024-09-01,2449.92
2024-10-01,2595.58
2024-11-01,2582.19
2024-12-01,2541.02
2025-01-01,2573.4
2025-02-01,2657.6
2025-03-01,2658.29
2025-04-01,2371.6
2025-05-01,2448.79
2025-06-01,2525.96
2025-07-01,2606.37
2025-08-01,2597.34
2025-09-01,2653.32
2025-10-01,2793.09
2025-11-01,2819.06
2025-12-01,2875.53
